Program,Input Size,Average Time (secs)
8, sq_mat_ver_mult_omp, 128,  secs,  secs
9, sq_mat_ver_mult_omp, 128,  secs,  secs
10, sq_mat_ver_mult_omp, 128,  secs,  secs
1, sq_mat_ver_mult_omp, 256,  secs,  secs
2, sq_mat_ver_mult_omp, 256,  secs,  secs
3, sq_mat_ver_mult_omp, 256,  secs,  secs
4, sq_mat_ver_mult_omp, 256,  secs,  secs
5, sq_mat_ver_mult_omp, 256,  secs,  secs
6, sq_mat_ver_mult_omp, 256,  secs,  secs
7, sq_mat_ver_mult_omp, 256,  secs,  secs
8, sq_mat_ver_mult_omp, 256,  secs,  secs
9, sq_mat_ver_mult_omp, 256,  secs,  secs
10, sq_mat_ver_mult_omp, 256,  secs,  secs
1, sq_mat_ver_mult_omp, 512,  secs,  secs
2, sq_mat_ver_mult_omp, 512,  secs,  secs
3, sq_mat_ver_mult_omp, 512,  secs,  secs
4, sq_mat_ver_mult_omp, 512,  secs,  secs
5, sq_mat_ver_mult_omp, 512,  secs,  secs
6, sq_mat_ver_mult_omp, 512,  secs,  secs
7, sq_mat_ver_mult_omp, 512,  secs,  secs
8, sq_mat_ver_mult_omp, 512,  secs,  secs
9, sq_mat_ver_mult_omp, 512,  secs,  secs
10, sq_mat_ver_mult_omp, 512,  secs,  secs
1, sq_mat_ver_mult_omp, 1024,  secs,  secs
2, sq_mat_ver_mult_omp, 1024,  secs,  secs
3, sq_mat_ver_mult_omp, 1024,  secs,  secs
4, sq_mat_ver_mult_omp, 1024,  secs,  secs
5, sq_mat_ver_mult_omp, 1024,  secs,  secs
6, sq_mat_ver_mult_omp, 1024,  secs,  secs
7, sq_mat_ver_mult_omp, 1024,  secs,  secs
8, sq_mat_ver_mult_omp, 1024,  secs,  secs
9, sq_mat_ver_mult_omp, 1024,  secs,  secs
10, sq_mat_ver_mult_omp, 1024,  secs,  secs
1, sq_mat_ver_mult_omp, 2048,  secs,  secs
2, sq_mat_ver_mult_omp, 2048,  secs,  secs
3, sq_mat_ver_mult_omp, 2048,  secs,  secs
4, sq_mat_ver_mult_omp, 2048,  secs,  secs
5, sq_mat_ver_mult_omp, 2048,  secs,  secs
6, sq_mat_ver_mult_omp, 2048,  secs,  secs
7, sq_mat_ver_mult_omp, 2048,  secs,  secs
8, sq_mat_ver_mult_omp, 2048,  secs,  secs
9, sq_mat_ver_mult_omp, 2048,  secs,  secs
10, sq_mat_ver_mult_omp, 2048,  secs,  secs
